"","text","label"
"1","""Nothing would please me more,"" he assured her.","positive"
"2","""I should advise you to let me keep it for you,"" he replied, in the same tone of half-humorous gravity.","negative"
"3","She had died very sudden at the end, they said.","negative"
"4","The grudging fire which had been flickering feebly had died down now.","positive"
"5","All these considerations led me to the irresistible conclusion that Jefferson Hope was to be found among the jarveys of the Metropolis.","negative"
"6","For they must fight tyranny to the death, she thought.","negative"
"7","But, first of all, I must keep you in touch with some of the other factors in the situation.","positive"
"8","They had reached, she felt, a sunny island where peace dwelt, sanity reigned and the sun for ever shone, the blessed island of good boots.","positive"
"9","It was the sob of a woman, the muffled, strangling gasp of one who is torn by an uncontrollable sorrow.","negative"
"10","Emanuel, ""God is good, and loves all the sincere.","positive"
"11","Chariot and demon charioteer were gone by; the votary still lived.","positive"
"12","He is a professional brother of yours, and your presence may be of assistance to me.","positive"
"13","""Yes,"" she said, ""he loves beauty.""","positive"
"14","Babalatchi and Mrs. Almayer had listened curiously, their bodies bent and their ears turned towards the passage.","positive"
"15","""Oh, her Grove day,"" muttered the Colonel.","negative"
"16","May God long preserve to you the blessings of peace and innocence!","positive"
"17","""And how would you describe Mr. Sherlock Holmes?""","positive"
"18","They advanced rapidly and noiselessly, with the confidence and dexterity of practised scouts.","positive"
"19","He had good friends in Singapore who would take care of her and have her taught properly.","positive"
"20","It was a burning shame and a scandalous disgrace to act in that way.","negative"
"21","It was obvious to him that his wife had entirely confused the meaning of his instructions.","negative"
"22","Or should she return to her room, and spend the night working out the details of a very enlightened and ingenious scheme?","positive"
"23","He jumped up ashamed of his fury and stood perplexed, wiping his forehead.","negative"
"24","But I must see Lakamba first for your good and mine.""","positive"
"25","I assure you, I desire to be your friend.""","positive"
"26","How pleasant it was in its air of perfect domestic comfort!","positive"
"27","For now had come that moment, that hesitation when dawn trembles and night pauses, when if a feather alight in the scale it will be weighed down.","positive"
"28","Our young friend here and you have done most excellently well.""","positive"
"29","On the contrary, he was extremely angry, with the confused impotent anger of one who finds himself unreasonably but efficiently frustrated.","negative"
"30","For an instant I read hatred and menace in the evil eyes.","negative"
"31","""Well, he wasn't  altogether such an easy gentleman to describe.","negative"
"32","She looked up apprehensively, brushing aside these thoughts with annoyance.","negative"
"33","She'll give way, James thought, as he watched a look come upon her face, a look he remembered.","positive"
"34","There were bamboo tables; velvet books with brass hinges; marble gladiators askew on the mantelpiece and innumerable pictures.","positive"
"35","we are going to hear some news now with a vengeance!","negative"
"36","Young speedily proved himself to be a skilful administrator as well as a resolute chief.","positive"
"37","He could not praise enough dear Carlos's tact and courage.","positive"
"38","For they were making the great expedition, she said, laughing.","positive"
"39","I had a charming partner - pure, wise, modest: you can fancy I was a happy man.","positive"
"40","Being told of her forgetfulness, she frowned with annoyance, and said that Cassandra was demoralizing her.","negative"
"41","In the darkness, her silence, her cold face had given him an awful  scare.","negative"
"42","Then a long, agonized, writhing neck shot upward and a dreadful cry echoed over the moor.","negative"
"43","Mind the truth, child; I said nothing of love!","negative"
"44","And then to watch the other sulking and dying in the distance; and the old lady -  my future mamma-in-law!","negative"
"45","I was always glad to see you; you were glad to see the one precious thing I had.","positive"
"46","""She seems to be forging ahead in this calm.""","positive"
"47","If minor errors were punished so sternly, what would be the fate of this arch rebel.","negative"
"48","The barren and cruel futility of such an end intimidated his affectation of careless pessimism.","negative"
"49","They both disliked this petty bickering; they both detested these recurring scenes; and yet they seemed inevitable.","negative"
"50","Pain, shame, ire, impatience, disgust, detestation, seemed momentarily to hold a quivering conflict in the large pupil dilating under his ebon eyebrow.","negative"
"51","Weakness has wrought terrible depression in me - terrible depression.""","negative"
"52","In every other respect he conformed to the religion of the young settlement, and gained the name of being an orthodox and straight-walking man.","positive"
"53","I could draw nothing further from him, and he walked, lost in thought, as far as the Baskerville gates.","negative"
"54","Where affection is reciprocal and sincere, and minds are harmonious, marriage must be happy.""","positive"
"55","Miss Keeldar's frank, hospitable manners were perfectly charming to him.","positive"
"56","He smiled the most exquisite smile, veiled by memory, tinged by dreams.","positive"
"57","""Yes, I'm happy,"" she assured him.","positive"
"58","""But my prospects are better,"" said the other, warmly.","positive"
"59","Among these men there was a stringent code of honour, any infringement of which was punished by death.","negative"
"60","He spoke with extraordinary clearness; he spaced his words beautifully.","positive"
"61","Her features lost the appearance of stony indifference that had exasperated her father into his outburst of anger and sorrow.","negative"
"62","A vague bent to mischief, an aimless malevolence, made constant vigilance indispensable.","negative"
"63","""It is well - you do right to be honest.","positive"
"64","""I assure you I have been perfectly civil,"" protested the other warmly.","positive"
"65","There are things that must be left  to divine justice.""","positive"
"66","Never was the distinction between charity and mercy better exemplified than in her.","positive"
"67","The agony of those contorted limbs struck me with a spasm of pain and blurred my eyes with tears.","negative"
"68","he'll make a name for himself, that young man,"" said Lady Pargiter.","positive"
"69","That was bad enough, for all that the coroner said.","negative"
"70","""Then you condemn me to live wretched and to die accursed?""","negative"
"71","He was coarse in his habits and brutish in his ways.","negative"
"72","You are sore about your poverty; you brood over that.'","negative"
"73","14  ""He must have reached it,"" said Lily Briscoe aloud, feeling suddenly completely tired out.","positive"
"74","""I have come to the top of the fields sometimes of an evening and looked down.","negative"
"75","Happiness is a glory shining far down upon us out of Heaven.","positive"
"76","Great applause, in which Professor Challenger was observed to join.","positive"
"77","It pleased Rodney thus to give away whatever his friends genuinely admired.","positive"
"78","See what a poor, pale, grim phantom I am - more pitiable than formidable.""","negative"
"79","The dependent fondness of her nursling, the natural affection of her child, came over her suavely.","positive"
"80","The fear of failure in these points harassed me worse than the physical hardships of my lot; though these were no trifles.","negative"
"81","""Not so,"" thought I, but I restrained deprecation, and sat quietly enough.","negative"
"82","Katharine asked, waking a little from the trance into which movement among moving things had thrown her.","negative"
"83","It was his incurable laziness; she added, moving on.","negative"
"84","You seem to me insensible both to pain and fear and grief.","negative"
"85","Edward crying, Mrs. Levy talking; snow falling; a sunflower with a crack in it; the yellow omnibus trotting along the Bayswater Road.","negative"
"86","She was obliged to refuse Miss Keeldar even this negative excuse for her prejudice.","positive"
"87","he has a fine bass voice, and an excellent taste for music.""","positive"
"88","It was a dreadful moment; unhappy; muddled; altogether wrong.","negative"
"89","There were eternal problems: suffering; death; the poor.","negative"
"90","""St. John is an accomplished and profound scholar.""","positive"
"91","With equal complacence she saw his misery, his meanness, and his torture.","negative"
"92","Then she would make every effort to appear quite gay, and she seemed indignant at herself that she could not perfectly succeed.","negative"
"93","Here we were rescued from the limited attractions of the local inn by Mr. Shortman, the representative of the British and Brazilian Trading Company.","positive"
"94","A terrible scream - a prolonged yell of horror and anguish burst out of the silence of the moor.","negative"
"95","Let me see; you have given me your promise that my confidence will be respected?","positive"
"96","""A fine unencumbered estate, real substance, good connections.","positive"
"97","This interpretation of what she was used to call William's conventionality was new to Katharine.","positive"
"98","He climbed the stairs, then checked himself, because he had seen within the shadow of a man cast upon one of the walls.","negative"
"99","He had all the appearance of a leader making ready for an expedition.","positive"
"100","Padre Roman was incapable of fanaticism to an almost reprehensible degree.","positive"
"101","I do not remember the occasion when her entrance into a room had not made that room cheerier.","positive"
"102","""I'll follow her,"" he said, hurriedly; ""she must be an accomplice, and will lead me to him.","positive"
"103","""I've  suffered tortures, Denham, tortures!""","negative"
"104","""A lovely day, yes, Mama,"" Delia repeated with mechanical cheerfulness.","positive"
"105","They are outraged and indignant with the government about the fishermen.","negative"
"106","Your folly shall betray you into poverty, misery, starvation.","negative"
"107","Amongst the members of the Brotherhood it  was the Englishmen whom he preferred.","positive"
"108","She rested her head  against his knees and kept possession of one of his hands.","negative"
"109","He resumed - ""And since I am myself poor and obscure, I can offer you but a service of poverty and obscurity.","negative"
"110","""Well, it can't  be helped,"" he said.","negative"
"111","He was screwing his face up, he was scowling and frowning, and flushing with anger.","negative"
"112","With curious readiness did she adapt herself to such themes as interested him.","positive"
"113","There was a tone in his voice that told her he was thinking not of her.","negative"
"114","Mrs. Dent had kindly taken her hand, and given her a kiss.","positive"
"115","At last he said, triumphantly: ""Well done!""","positive"
"116","I am not brutally selfish, blindly unjust, or fiendishly ungrateful.","negative"
"117","""I dangers dared; I hindrance scorned I omens did defy: Whatever menaced, harassed, warned, I passed impetuous by.","positive"
"118","But Babalatchi's discretion was proof even against the combined assaults of good fellowship and of strong gin generously administered by the open- hearted Chinaman.","positive"
"119","Afterwards I wandered upstairs, meeting some of the first ladies of Sulaco, paler than I had ever seen them before, with bandages over their arms.","negative"
"120","Like all the French, she thought, he cares passionately for his country.","positive"
"121","He made an effort to shake off his stupor and saw a face close to his, glaring at him with staring eyeballs.","negative"
"122","and she laughed, as if now they might share a perfectly friendly laugh at the tea-party.","positive"
"123","These were very remarkable, but as eccentric as all his other accomplishments.","positive"
"124","In his worn gaze there was no fear or shame, but a troubled  perplexity and obvious concern.","negative"
"125","Cam would never resist tyranny to the death, he thought grimly, watching her face, sad, sulky, yielding.","negative"
"126","""I feel tired often, sleepy sometimes, but seldom sad.""","negative"
"127","It pains me to hear you speak of it in so unappreciative a fashion.","negative"
"128","I stood upon the hearth-rug and picked up the stick which our visitor had left behind him the night before.","positive"
"129","I suppose illness and weakness had worn it and made it brittle.","negative"
"130","She left the room, holding her unfinished bread and butter in her hand.","negative"
"131","It was so shrill, so discordant, and so meaningless.","negative"
"132","Nobbut four on us ligging in a ditch,' says Joe, as quiet as could be.","negative"
"133","""This lieutenant,"" he continued after a pause, ""has always  behaved coldly to her.","negative"
"134","You may have better luck, or more tact in handling him.","positive"
"135","""Snap goes our third thread, and we end where we began,"" said he.","negative"
"136","An ambition fit for noble souls, but also a profitable one for an exceptionally intelligent scoundrel.","positive"
"137","My mortal fear and faintness must have made me deadly pale.","negative"
"138","""It was mere chance; the subject on which we had been reading had interested me.","positive"
"139","She fell at his feet sobbing violently and repeating, ""Kill me!","negative"
"140","Catherine, going downstairs, found Peyrol still at the well.","positive"
"141","Clearly the murderer had used it to remind his victim of some dead or absent woman.","negative"
"142","""A false step yonder means death to man or beast.","negative"
"143","""I hope it'll be all right,"" said Celia.","positive"
"144","A merry child would have the advantage of him on this hearth.","positive"
"145","""They are simple souls, neglected, fallen back into darkness.","negative"
"146","Ere you are aware you stand face to face with a shrouded and unthought-of calamity - a new Lazarus.","negative"
"147","Mr. Bankes liked her for bidding him ""think of his work.""","positive"
"148","But it is the pure essence of faith, love, charity!","positive"
"149","I could have torn my hair and beaten my head in my despair.","negative"
"150","For this reason I saw a good deal of Sir Charles Baskerville.","positive"
"151","The acceptance of accomplished facts may save yet the precious vestiges of parliamentary institutions.","positive"
"152","""Yes, if you have nothing better to do.""","positive"
"153","""His Majesty's sloop Amelia ,"" hailed back Captain Vincent.","negative"
"154","""Well, he became more reasonable and we had a chat.","positive"
"155","His eyes beamed; he seemed full of spontaneous subterraneous benevolence.","positive"
"156","""And I cannot bear that you should think better of me than I deserve.""","negative"
"157","""A damned unpleasant thing,"" he said, ""being in prison.""","negative"
"158","It seems, if not presumptuous, silly, weak, a delusion, an absurd mistake.","negative"
"159","You found it hard to get up; you will find it harder to get down.","negative"
"160","And underlying the horror of this situation there was the danger of those meddlesome fools, the white men.","negative"
"161","A charming young woman that a great favorite of mine.""","positive"
"162","""My husband wanted the railway,"" Mrs. Gould said to Sir John in the general murmur of resumed conversations.","positive"
"163","She was like a savage wreaking vengeance upon some brazen victim.","negative"
"164","She drove her needle through the stuff in a spasm of disgust.","negative"
"165","Oh, for some good spirit to suggest a judicious and satisfactory response!","positive"
"166","He had found the house and so seeing it, he had also seen himself there; he had seen himself walking on the terrace, alone.","negative"
"167","The wretched Indians screamed with terror, but were helpless, run as they would, before the relentless purpose and horrible activity of these monstrous creatures.","negative"
"168","thought I; ""am I going to harass myself with fears of displeasing you, or hurting your feelings?","negative"
"169","At the head of the column there rode a score or more of grave ironfaced men, clad in sombre homespun garments and armed with rifles.","negative"
"170","He stood now gazing with great reverence at the famous detective.","positive"
"171","He lifted his head and confronted the anxious yet irate seaman.","negative"
"172","He died of grief for the loss, and shame for the infamy.","negative"
"173","And I hastened upstairs as I saw him entering the garden.","positive"
"174","Let it come down to the harbour, ready for shipment.","positive"
"175","To Charles Gould's fancy it seemed that the sound must reach the uttermost limits of the province.","negative"
"176","said Kitty, remembering Miss Craddock's profound admiration for that light of learning.","positive"
"177","Her indifference must have been superficial, for it disappeared at once.","positive"
"178","There was a feeble flicker of lightning and a faint crash, far away.","negative"
"179","""There was no possible indication that we intended to go to this hotel.""","negative"
"180","the fiendish noise that split his head and seemed to choke his breath.","negative"
"181","But Jane will give me her love: yes - nobly, generously.""","positive"
"182","From the first I was tempted to make an exception to this rule of avoidance: the seclusion, the very gloom of the walk attracted me.","positive"
"183","Like moths, we all love best to flutter in the light.","positive"
"184","You can even see his hearth and his couch if you have the curiosity to go inside.","positive"
"185","And now his heart was filled only with a great tenderness and love for his daughter.","positive"
"186","It was unfortunately lost with so much else in the same boat accident which ruined my photographs.","negative"
"187","""You are mad to come here,"" he cried.","negative"
"188","I only wish I could trust your courage and your sense.","negative"
"189","And now he looked upon the result of so many years of patient toil: the fearless Lakamba cowed by the shadow of an impending trouble.","negative"
"190","He approved my plans, and promised the aid I wanted.","positive"
"191","No man lives or has ever lived who has brought the same amount of study and of natural talent to the detection of crime which I have done.","positive"
"192","There is also a great looking-glass in a frame shining like gold.","positive"
"193","It was not until he had received his apology that our touchy friend would suffer himself to be appeased.","negative"
"194","When we arrived at the hall we found a much greater concourse than I had expected.","positive"
"195","""Excuse me, but I think you must have been nearly as mad as he, to sit listening to him.""","negative"
"196","She went on with her embroidery under his contemplating gaze and continued to speak, looking at her work, ""Or I could not live.","negative"
"197","During a deadly struggle against an irreconcilable  enemy his life belonged to his country.","negative"
"198","But his desire to smooth everything over comfortably came to his relief.","positive"
"199","The risk of it was not so much deadly as particularly odious.","negative"
"200","To Mrs. Cholmondeley and M. de Bassompierre she now had recourse.","negative"
"201","Her eyes fixed themselves on the dressing-table; vaguely she remembered some other room, and some other time when she was a girl.","negative"
"202","A ferocious beast would surely have destroyed them and left their remains.","negative"
"203","""If the audience had done less than justice, surely it made ample amends.","negative"
"204","On what forbidden grounds do they intrude, down what dread declivities are they hurled!","negative"
"205","Yet his zeal for certain studies was remarkable, and within eccentric limits his knowledge was so extraordinarily ample and minute that his observations have fairly astounded me.","positive"
"206","I could comprehend the feeling, and share both its strength and truth.","positive"
"207","""I'm going to this infernal cottage to write a worthless book.""","negative"
"208","This aptitude came to them in the growing complexity of their passions and the early refinement of their ingenuity.","positive"
"209","Peyrol wrinkled the corners of his eyes in a keen, searching glance.","negative"
"210","He  perceived that he detested that lieutenant much more when he didn't  see  him.","negative"
"211","Peyrol had  listened gravely to his confused tale of the dog's death.","negative"
"212","The man continued,  mouthing his words slowly as if unused to speech.","negative"
"213","Your glory shall be great, and your reward in powerful friendship.","positive"
"214","""Then kill me and escape yourself,"" sobbed out Nina.","negative"
"215","I wish to goodness I could think of  some other.","positive"
"216","She was not inventing; she was only trying to smooth out something she had been given years ago folded up; something she had seen.","positive"
"217","A murmur of despair and tears grew louder to her strained hearing.","negative"
"218","Ultimately the sailor, disgusted with the sordid meanness of that impenitent thief, deserted from the schooner.","negative"
"219","I can hardly claim to take serious notice of anything that I can see with my naked eye.","negative"
"220","When - how - whither, I could not yet discern; but he himself, I doubted not, would hurry me from Thornfield.","positive"
"221","It kept up a slow fire of indignation and a trembling trouble of grief, which harassed and crushed me altogether.","negative"
"222","""We are all savages here,"" said the forlorn fisherman from the lagoon.","negative"
"223","""This is an excellent monograph by my gifted friend, Ray Lankester!""","positive"
"224","He soon made a call at Fieldhead, and his first visit was not his last.","positive"
"225","She laughed, happily in time with a joke, so that it seemed appropriate.","positive"
"226","He fell dead at the end of the alley from heart disease and terror.","negative"
"227","""He's doomed to misery in the long run.""","negative"
"228","Some people without possessing genius have a remarkable power of stimulating it.","positive"
"229","For errors of this sort is he to be the victim of mob outrage?","negative"
"230","""The blundering fool,"" Holmes said, bitterly, as we drove back to our lodgings.","negative"
"231","We can only go on patiently putting the truth before them.","positive"
"232","He has been waiting for a gentleman for two days.'","positive"
"233","So mortally did I fear the sin and weakness of presumption.","negative"
"234","He was no doubt sore about the loss of the silver.","negative"
"235","The Indians once more set up a feeble wail of fear.","negative"
"236","The unfortunate delay can be apportioned between a blundering pilot and an intrusive sandbank.","negative"
"237","Mrs. Almayer fell on her knees on the bank and leaned over the gunwale so as to bring her own face close to her daughter's.","negative"
"238","He stepped back to look at his work admiringly, feeling very proud.","positive"
"239","One day easy and casual, next day ready to pounce on you like a  tiger.","positive"
"240","Have you felt about you the strong arm that could drive a kriss deep into a beating heart?","positive"
"241","The little wavelets seemed to be tossing tiny red sparks upon the sandy beaches.","positive"
"242","Barrios, always delighted with a feat of daring and a good judge of courage, had taken a great liking to the Capataz.","positive"
"243","Sir Henry put his hand upon my shoulder with a pleasant smile.","positive"
"244","""This case will make a stir, sir,"" he remarked.","negative"
"245","You have accomplished your mission admirably, my dear Martin.""","positive"
"246","His face was disturbed and troubled, while his clothes were disarranged and untidy.","negative"
"247","Andrew - even her husband admitted that his gift for mathematics was extraordinary.","positive"
"248","She had perfect control of herself - Oh, yes!","positive"
"249","She says every one ought to write poetry....","positive"
"250","Scorn for scorn, contempt for contempt, hate for hate.","negative"
